Country,Regime type,EU?
Cambodia,Authoritarian,FALSE
China,Authoritarian,FALSE
Fiji,Hybrid regime,FALSE
Hong Kong,Hybrid regime,FALSE
India,Flawed democracy,FALSE
Indonesia,Flawed democracy,FALSE
Japan,Full democracy,FALSE
Laos,Authoritarian,FALSE
Malaysia,Flawed democracy,FALSE
Mongolia,Flawed democracy,FALSE
Myanmar,Authoritarian,FALSE
Nepal,Hybrid regime,FALSE
New Zealand,Full democracy,FALSE
North Korea,Authoritarian,FALSE
Pakistan,Hybrid regime,FALSE
Papua New Guinea,Flawed democracy,FALSE
Philippines,Flawed democracy,FALSE
Singapore,Flawed democracy,FALSE
South Korea,Full democracy,FALSE
Sri Lanka,Flawed democracy,FALSE
Taiwan,Full democracy,FALSE
Thailand,Flawed democracy,FALSE
East Timor,Flawed democracy,FALSE
Vietnam,Authoritarian,FALSE
Algeria,Authoritarian,FALSE
Bahrain,Authoritarian,FALSE
Egypt,Authoritarian,FALSE
Iran,Authoritarian,FALSE
Iraq,Authoritarian,FALSE
Israel,Flawed democracy,FALSE
Jordan,Authoritarian,FALSE
Kuwait,Authoritarian,FALSE
Lebanon,Authoritarian,FALSE
Libya,Authoritarian,FALSE
Morocco,Hybrid regime,FALSE
Oman,Authoritarian,FALSE
Palestine,Authoritarian,FALSE
Qatar,Authoritarian,FALSE
Saudi Arabia,Authoritarian,FALSE
Sudan,Authoritarian,FALSE
Syria,Authoritarian,FALSE
Tunisia,Hybrid regime,FALSE
United Arab Emirates,Authoritarian,FALSE
Yemen,Authoritarian,FALSE
Angola,Authoritarian,FALSE
Benin,Hybrid regime,FALSE
Botswana,Flawed democracy,FALSE
Burkina Faso,Authoritarian,FALSE
Burundi,Authoritarian,FALSE
Cape Verde,Flawed democracy,FALSE
Cameroon,Authoritarian,FALSE
Central African Republic,Authoritarian,FALSE
Chad,Authoritarian,FALSE
Comoros,Authoritarian,FALSE
Republic of the Congo,Authoritarian,FALSE
Ivory Coast,Hybrid regime,FALSE
Democratic Republic of the Congo,Authoritarian,FALSE
Djibouti,Authoritarian,FALSE
Equatorial Guinea,Authoritarian,FALSE
Eritrea,Authoritarian,FALSE
Eswatini,Authoritarian,FALSE
Ethiopia,Authoritarian,FALSE
Gabon,Authoritarian,FALSE
Gambia,Hybrid regime,FALSE
Ghana,Flawed democracy,FALSE
Guinea,Authoritarian,FALSE
Guinea-Bissau,Authoritarian,FALSE
Kenya,Hybrid regime,FALSE
Lesotho,Flawed democracy,FALSE
Liberia,Hybrid regime,FALSE
Madagascar,Hybrid regime,FALSE
Malawi,Hybrid regime,FALSE
Mali,Authoritarian,FALSE
Mauritania,Hybrid regime,FALSE
Mauritius,Full democracy,FALSE
Mozambique,Authoritarian,FALSE
Namibia,Flawed democracy,FALSE
Niger,Authoritarian,FALSE
Nigeria,Hybrid regime,FALSE
Rwanda,Authoritarian,FALSE
Senegal,Hybrid regime,FALSE
Sierra Leone,Hybrid regime,FALSE
South Africa,Flawed democracy,FALSE
Tanzania,Hybrid regime,FALSE
Togo,Authoritarian,FALSE
Uganda,Hybrid regime,FALSE
Zambia,Hybrid regime,FALSE
Zimbabwe,Authoritarian,FALSE
